dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
2011-01-01,4,0,11,0,0,1,2,0.9237,0.8859,0.3563,0.6743,2938,5591,1584
2011-01-02,4,0,12,0,2,1,2,0.322,0.8431,0.0706,0.2592,1249,2479,2598
2011-01-03,1,1,10,0,1,0,1,0.9255,0.9391,0.2541,0.0381,1528,924,7863
2011-01-04,2,0,7,1,0,0,2,0.8049,0.5255,0.6971,0.8449,3374,5525,5185
2011-01-05,4,0,12,0,5,0,1,0.7333,0.7428,0.918,0.258,1285,2208,3648
2011-01-06,4,0,9,0,1,1,2,0.9698,0.5553,0.6283,0.0684,1515,4558,8475
2011-01-07,4,0,10,0,4,1,1,0.3382,0.7763,0.769,0.7314,1715,4584,5855
2011-01-08,4,1,5,0,0,0,2,0.9173,0.7638,0.0141,0.3672,2640,595,7406
2011-01-09,1,0,3,0,6,1,1,0.1164,0.7584,0.7601,0.49,2501,251,4106
2011-01-10,1,1,7,0,6,0,2,0.4885,0.4284,0.8355,0.8371,3339,5701,1442
2011-01-11,2,1,5,1,2,1,1,0.561,0.7963,0.4127,0.4086,2168,407,6386
2011-01-12,3,0,5,0,3,1,3,0.1404,0.8765,0.4939,0.057,3252,2318,7118
2011-01-13,2,1,9,0,4,0,1,0.7426,0.6363,0.0524,0.5875,2085,5298,5100
2011-01-14,2,0,8,0,4,0,2,0.4857,0.4547,0.1746,0.604,1836,1250,3784
2011-01-15,2,1,4,0,0,0,2,0.4664,0.8532,0.0565,0.1651,1902,3637,1087
2011-01-16,3,0,3,0,6,0,1,0.5898,0.7785,0.7314,0.4636,1638,820,2157
2011-01-17,4,1,7,0,6,0,2,0.152,0.4696,0.7999,0.3138,686,3881,8059
2011-01-18,4,1,4,0,3,0,3,0.216,0.5799,0.1087,0.0424,1250,4961,1485
2011-01-19,1,0,3,0,3,1,2,0.1971,0.6858,0.9216,0.2649,2062,1743,5759
2011-01-20,1,0,3,0,1,1,3,0.9529,0.6883,0.8395,0.7731,2067,1971,5786
2011-01-21,2,0,8,0,5,0,1,0.7777,0.311,0.5763,0.2552,542,3703,4125
2011-01-22,3,1,5,0,3,1,3,0.5386,0.2927,0.9783,0.1896,2740,5500,8685
2011-01-23,1,0,5,0,1,0,3,0.6663,0.8873,0.8825,0.7998,2431,3794,5903
2011-01-24,3,1,2,0,2,0,2,0.657,0.937,0.2226,0.325,1791,4878,8424
2011-01-25,3,0,1,0,0,0,2,0.2771,0.4021,0.954,0.7995,1543,2885,2289
2011-01-26,3,0,9,0,5,1,2,0.1049,0.9134,0.443,0.7482,1902,911,6460
