country,continent,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,total_tests,population,gdp_per_capita,median_age,hospital_beds_per_thousand,life_expectancy,vaccination_rate_pct,stringency_index
USA,North America,3134549,4856,170433,4567,1556720,3634502,486201449,515374035,17061,17.5,8.57,52.8,21.5,46.18
India,Asia,22616928,39890,126181,4968,14955731,3661777,353322581,381036764,57963,15.2,5.44,69.8,42.9,0.15
Brazil,South America,1212310,60939,232912,582,30309395,3847855,67566214,433754787,47490,21.0,2.53,59.1,35.6,67.47
Russia,Europe,27807976,24270,877170,2378,30411808,1782342,147144918,590004538,23584,42.2,11.17,74.6,95.8,52.36
France,Europe,14768736,17411,552070,4656,38727780,3362603,144640472,913834615,21753,26.6,11.85,70.0,54.5,90.42
UK,Europe,9294929,52459,703858,145,24846316,1024020,143098505,898886722,48582,44.8,13.56,58.3,25.2,94.73
Germany,Europe,45614465,18432,509843,4355,15368874,4344610,373408533,463213807,1006,44.2,2.89,68.2,59.5,9.82
Italy,Europe,32934035,40962,536564,1997,17322611,40355,279183932,407436031,5670,43.5,4.43,68.6,7.9,8.95
Spain,Europe,9639017,8409,564814,2677,44135663,3063748,243169926,1076275306,55332,22.0,4.0,65.4,90.9,89.91
Argentina,South America,35492145,1901,114733,631,2117759,424739,194480049,1071076936,49043,26.3,13.03,53.3,34.4,51.21
Colombia,South America,3150512,73540,566607,1704,29547119,4128516,91336728,973259129,53550,30.5,8.4,58.6,86.7,46.97
Poland,Europe,25762002,18629,507521,4798,1033070,1186477,27721747,964379498,31303,29.2,12.92,83.0,79.5,57.08
Turkey,Asia,31010707,2860,741765,4631,20858538,105317,471283864,340403741,19473,17.6,12.48,58.0,19.1,46.64
South Africa,Africa,6881080,1723,79154,706,4409817,1834908,326512656,930310748,25819,22.9,3.51,66.7,94.3,61.43
Mexico,North America,47927140,56729,457551,2813,10118040,4486990,146479007,454034945,50300,35.5,6.05,61.4,97.2,94.91
Indonesia,Asia,4368549,52219,838735,589,18186662,766628,105793965,744756516,15949,37.3,5.85,76.2,79.1,60.6
Netherlands,Europe,2858848,58237,735108,4946,14599775,1361471,288550543,769695893,2530,27.0,6.87,70.5,44.8,32.07
Iran,Asia,24859924,64132,257052,2288,1233834,2724964,348079559,1113326555,32566,24.8,13.97,74.9,66.2,21.34
Philippines,Asia,37272962,65448,655862,1291,35347442,4355738,361193886,1271096405,35316,34.3,2.52,72.4,8.8,96.61
Ukraine,Europe,27286795,71833,359570,2709,6668069,972052,273233100,588428709,27545,36.9,10.84,68.1,90.3,57.94
Romania,Europe,5425435,85250,713781,1006,32050583,1818032,231642003,156964182,63812,38.5,3.26,82.7,22.5,56.67
Belgium,Europe,4461709,20790,573100,3586,43563318,4773323,282035517,27107413,39597,41.8,10.38,74.5,70.5,3.33
Chile,South America,6767091,9199,433745,1734,11145318,3487917,126644842,502667588,51356,34.3,2.92,74.0,78.7,91.84
Hungary,Europe,49130537,80501,16880,1839,20276250,2824039,81039300,603083809,15633,27.5,7.43,74.1,95.0,46.96
Canada,North America,46804198,6754,684831,3782,29069667,1808463,167706676,839248511,37623,26.5,9.38,66.9,80.9,99.98
Peru,South America,4052376,41103,487749,4484,41996326,3983131,434643635,497056994,23473,16.1,6.1,72.6,80.4,16.79
Sweden,Europe,35060643,61431,479558,1019,17088573,4707355,445772376,455039891,24095,28.7,13.53,71.3,69.4,32.62
Portugal,Europe,40867888,4918,643357,2993,8548510,2109170,197482191,1028405893,7067,43.7,9.91,80.4,56.9,21.01
Switzerland,Europe,27965226,97427,820760,1534,4965631,4769542,492557247,406083747,47929,35.7,2.29,83.3,5.1,37.89
Austria,Europe,7832019,92769,186546,236,16134023,1024486,401636859,64719429,30114,34.6,5.27,67.5,95.4,97.66
Israel,Asia,8232968,83797,810811,1277,37413215,4218411,34794931,605293654,63413,22.4,4.46,71.2,44.6,41.48
Japan,Asia,34672390,69344,138617,170,30204592,2247831,432164052,865827803,38234,34.7,4.21,61.3,78.3,82.71
Pakistan,Asia,27952954,79332,577745,3910,10282293,1053652,112245345,270465524,12891,21.0,3.04,79.1,37.6,75.53
