customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST_00000,Male,0,Yes,Yes,18,Yes,DSL,Two year,No,Credit card,62.68,,No
CUST_00001,Male,0,No,Yes,25,No,Fiber optic,Month-to-month,No,Mailed check,70.31,6230.08,No
CUST_00002,Female,1,No,No,23,Yes,DSL,Month-to-month,Yes,Mailed check,24.94,4405.39,No
CUST_00003,Male,1,No,No,30,Yes,No,Month-to-month,Yes,Mailed check,76.71,5239.49,Yes
CUST_00004,Male,1,No,No,34,Yes,DSL,Two year,No,Mailed check,93.65,7468.05,No
CUST_00005,Male,0,No,No,18,Yes,DSL,Month-to-month,Yes,Bank transfer,44.75,4332.32,No
CUST_00006,Female,0,No,No,27,Yes,DSL,Month-to-month,No,Mailed check,104.16,3626.45,No
CUST_00007,Female,0,No,No,20,Yes,DSL,Month-to-month,Yes,Mailed check,45.0,2165.81,No
CUST_00008,Female,0,Yes,No,42,Yes,DSL,Two year,No,Mailed check,69.83,1157.21,No
CUST_00009,Male,1,No,Yes,34,Yes,Fiber optic,Month-to-month,Yes,Electronic check,106.13,2551.5,No
CUST_00010,Male,1,No,No,46,Yes,DSL,Month-to-month,No,Electronic check,92.43,3538.61,No
CUST_00011,Male,0,Yes,No,31,Yes,No,One year,Yes,Mailed check,76.15,6641.86,No
CUST_00012,Male,0,No,No,72,Yes,Fiber optic,Two year,Yes,Electronic check,80.83,1903.04,Yes
CUST_00013,Male,0,No,Yes,35,Yes,Fiber optic,Two year,Yes,Mailed check,29.19,6103.6,Yes
CUST_00014,Female,0,Yes,No,44,Yes,Fiber optic,Month-to-month,No,Mailed check,88.53,703.71,No
CUST_00015,Male,0,No,Yes,32,Yes,DSL,Month-to-month,Yes,Electronic check,79.75,1391.42,Yes
CUST_00016,Male,0,Yes,No,53,No,DSL,Month-to-month,Yes,Mailed check,26.75,2846.76,Yes
CUST_00017,Male,1,Yes,Yes,40,Yes,No,Month-to-month,Yes,Bank transfer,30.74,4090.28,Yes
CUST_00018,Male,0,Yes,No,7,Yes,Fiber optic,Month-to-month,No,Credit card,115.84,1586.73,No
CUST_00019,Male,1,No,No,53,Yes,DSL,Month-to-month,Yes,Mailed check,36.15,989.66,No
CUST_00020,Male,1,No,Yes,55,Yes,Fiber optic,Month-to-month,No,Bank transfer,108.28,4922.24,No
CUST_00021,Female,0,No,Yes,29,Yes,DSL,Month-to-month,Yes,Electronic check,45.97,3589.09,Yes
CUST_00022,Female,1,No,Yes,37,Yes,DSL,One year,Yes,Mailed check,58.06,3622.92,No
CUST_00023,Female,0,Yes,Yes,0,Yes,DSL,Month-to-month,Yes,Bank transfer,74.08,2687.47,Yes
CUST_00024,Female,1,No,Yes,63,Yes,Fiber optic,Two year,Yes,Mailed check,81.15,3236.03,Yes
CUST_00025,Female,1,Yes,No,56,Yes,Fiber optic,Two year,Yes,Credit card,68.28,1613.99,No
CUST_00026,Male,1,Yes,No,70,Yes,Fiber optic,Month-to-month,No,Credit card,53.27,2363.68,Yes
CUST_00027,Male,1,Yes,No,43,Yes,DSL,Month-to-month,Yes,Credit card,68.37,4718.14,No
CUST_00028,Male,0,Yes,No,16,Yes,DSL,Two year,No,Mailed check,88.67,4544.98,No
