order_id,customer_id,order_date,product_category,product_name,quantity,unit_price,discount_pct,shipping_cost,total_amount,payment_method,shipping_city,order_status,customer_rating,return_flag,days_to_deliver,customer_age_group,is_repeat_customer,platform,seller_id,region
ORD000000,CUST04472,2023-01-01,Sports,Watch,7,1977.87,15,1.39,2743.99,COD,Bhopal,Delivered,5.0,0,11.0,55+,0,Mobile App,SELL0077,West
ORD000001,CUST00223,2023-01-01,Beauty,Printer,6,970.29,5,8.95,4368.76,UPI,Bhopal,Delivered,1.0,0,12.0,55+,0,In-Store Kiosk,SELL0199,East
ORD000002,CUST03534,2023-01-02,Beauty,Cable,4,969.91,0,18.47,1946.44,Debit Card,Kanpur,Delivered,1.0,0,7.0,46-55,0,Mobile App,SELL0133,West
ORD000003,CUST01458,2023-01-03,Beauty,Cable,1,1704.02,5,10.64,3798.07,UPI,Bhopal,Delivered,3.0,0,9.0,55+,0,Mobile App,SELL0110,Central
ORD000004,CUST01235,2023-01-03,Electronics,Printer,9,1350.21,10,6.82,3050.09,COD,Bangalore,Delivered,1.0,0,11.0,46-55,0,Website,SELL0016,North
ORD000005,CUST02213,2023-01-04,Home & Garden,Charger,7,292.7,0,8.13,392.2,Credit Card,Hyderabad,Delivered,4.0,1,9.0,18-25,0,Mobile App,SELL0028,East
ORD000006,CUST02392,2023-01-05,Clothing,Phone,5,619.41,15,31.32,2513.02,UPI,Surat,Processing,3.0,0,,55+,0,In-Store Kiosk,SELL0133,North
ORD000007,CUST02183,2023-01-05,Electronics,Headphones,6,1171.49,5,6.42,3819.64,UPI,Kolkata,Cancelled,,1,12.0,46-55,0,Mobile App,SELL0186,North
ORD000008,CUST04193,2023-01-06,Beauty,Gaming Console,7,36.94,10,39.17,3363.13,Debit Card,Ahmedabad,Returned,4.0,1,6.0,55+,1,Mobile App,SELL0171,North
ORD000009,CUST03412,2023-01-07,Food,Cable,1,1023.24,0,42.09,2819.73,Net Banking,Lucknow,Delivered,4.0,0,10.0,18-25,0,Mobile App,SELL0171,South
ORD000010,CUST01893,2023-01-07,Food,Gaming Console,2,471.71,5,36.17,3964.92,Debit Card,Indore,Delivered,1.0,0,9.0,26-35,0,Website,SELL0030,North
ORD000011,CUST00969,2023-01-08,Toys,Phone,10,477.41,0,12.26,4516.43,Debit Card,Bangalore,Delivered,5.0,0,12.0,18-25,1,Mobile App,SELL0090,West
ORD000012,CUST00493,2023-01-09,Books,Headphones,1,1791.2,5,28.82,721.38,Credit Card,Bhopal,Returned,,0,12.0,46-55,0,Mobile App,SELL0124,South
ORD000013,CUST03539,2023-01-09,Clothing,Cable,2,567.96,10,3.05,1280.47,COD,Indore,Delivered,3.0,1,4.0,46-55,1,Mobile App,SELL0124,South
ORD000014,CUST03927,2023-01-10,Home & Garden,Laptop,10,1796.99,0,47.13,4944.18,UPI,Bhopal,Delivered,1.0,0,13.0,36-45,0,Website,SELL0098,Central
ORD000015,CUST03490,2023-01-11,Home & Garden,Phone,8,1069.77,0,0.37,1212.03,COD,Mumbai,Cancelled,,1,9.0,18-25,0,In-Store Kiosk,SELL0188,West
ORD000016,CUST03693,2023-01-11,Toys,Watch,7,1856.09,0,11.08,4137.5,Credit Card,Hyderabad,Delivered,4.0,0,4.0,18-25,1,Mobile App,SELL0045,West
ORD000017,CUST03189,2023-01-12,Books,Cable,10,1459.8,0,4.15,2662.9,Debit Card,Jaipur,Delivered,1.0,0,,55+,0,Mobile App,SELL0168,West
ORD000018,CUST03052,2023-01-13,Books,Gaming Console,7,830.97,0,49.74,1927.56,Net Banking,Surat,Delivered,5.0,0,14.0,26-35,0,Website,SELL0089,South
ORD000019,CUST04826,2023-01-13,Food,Gaming Console,1,75.2,20,2.04,3638.05,Wallet,Bhopal,Shipped,,1,9.0,55+,0,Mobile App,SELL0129,West
ORD000020,CUST02690,2023-01-14,Food,Monitor,1,1783.83,0,0.09,3767.82,Debit Card,Indore,Delivered,1.0,1,3.0,36-45,0,Website,SELL0085,North
ORD000021,CUST04517,2023-01-15,Beauty,Router,9,1416.14,10,5.03,1364.23,Debit Card,Nagpur,Delivered,4.0,0,7.0,18-25,0,Website,SELL0072,East
ORD000022,CUST03761,2023-01-15,Clothing,Watch,5,273.85,5,44.06,60.1,Debit Card,Bangalore,Delivered,5.0,0,3.0,36-45,0,Mobile App,SELL0115,Central
ORD000023,CUST02210,2023-01-16,Sports,Cable,4,1870.63,0,20.04,3892.97,Credit Card,Lucknow,Processing,5.0,1,,55+,0,Mobile App,SELL0108,South
ORD000024,CUST01767,2023-01-17,Books,Smart TV,3,979.79,0,47.24,3448.88,UPI,Mumbai,Cancelled,5.0,0,10.0,36-45,0,Mobile App,SELL0150,West
ORD000025,CUST00831,2023-01-17,Clothing,Charger,8,63.95,0,47.97,606.21,COD,Delhi,Delivered,5.0,1,2.0,55+,0,Website,SELL0015,North
ORD000026,CUST01649,2023-01-18,Electronics,Tablet,9,595.27,0,36.31,189.24,UPI,Kolkata,Delivered,1.0,1,13.0,46-55,0,Mobile App,SELL0020,East
ORD000027,CUST02617,2023-01-19,Books,Camera,7,1720.31,0,8.44,3304.71,COD,Lucknow,Delivered,1.0,1,,55+,0,In-Store Kiosk,SELL0077,North
ORD000028,CUST03138,2023-01-19,Electronics,Smart TV,5,841.13,15,48.55,3007.91,Debit Card,Nagpur,Delivered,2.0,1,3.0,55+,1,Mobile App,SELL0041,Central
ORD000029,CUST04222,2023-01-20,Electronics,Printer,6,1616.53,0,21.91,3816.91,Net Banking,Bhopal,Cancelled,,1,5.0,46-55,0,Website,SELL0144,East
ORD000030,CUST00833,2023-01-21,Books,Printer,4,808.53,10,23.23,4366.7,Wallet,Pune,Delivered,5.0,1,5.0,26-35,1,Website,SELL0129,Central
ORD000031,CUST00809,2023-01-21,Home & Garden,Laptop,4,272.23,0,31.84,3321.8,Credit Card,Delhi,Delivered,1.0,1,1.0,46-55,1,Website,SELL0029,Central
ORD000032,CUST03167,2023-01-22,Beauty,Keyboard,2,393.27,20,35.81,3179.92,Credit Card,Chennai,Shipped,5.0,1,2.0,26-35,0,Mobile App,SELL0025,North
ORD000033,CUST00080,2023-01-23,Toys,Speaker,5,1763.01,0,48.12,2605.64,Credit Card,Lucknow,Returned,2.0,0,11.0,46-55,0,Mobile App,SELL0169,East
ORD000034,CUST04336,2023-01-23,Clothing,Printer,4,366.57,0,48.55,2833.49,Wallet,Indore,Delivered,3.0,0,7.0,46-55,0,Mobile App,SELL0132,West
ORD000035,CUST01080,2023-01-24,Toys,Phone,3,1871.21,0,20.68,4870.22,Net Banking,Delhi,Delivered,,0,4.0,46-55,1,Website,SELL0179,East
ORD000036,CUST02576,2023-01-25,Food,Router,4,580.64,30,7.11,237.58,Wallet,Mumbai,Returned,1.0,0,8.0,26-35,0,Website,SELL0132,West
ORD000037,CUST00385,2023-01-25,Toys,Charger,8,1943.42,10,45.78,2720.45,UPI,Ahmedabad,Delivered,2.0,0,4.0,26-35,1,Website,SELL0081,East
ORD000038,CUST00415,2023-01-26,Books,Mouse,8,198.18,0,5.95,1241.36,Wallet,Nagpur,Shipped,2.0,1,9.0,55+,0,In-Store Kiosk,SELL0068,Central
ORD000039,CUST04474,2023-01-27,Books,Projector,9,1099.05,0,27.63,3628.29,UPI,Chennai,Delivered,2.0,0,3.0,26-35,0,Mobile App,SELL0167,West
ORD000040,CUST03315,2023-01-27,Sports,Printer,9,75.99,15,8.31,3744.55,Wallet,Bhopal,Delivered,2.0,1,3.0,46-55,1,Mobile App,SELL0198,East
ORD000041,CUST04710,2023-01-28,Toys,Router,10,516.9,20,17.91,1330.29,Net Banking,Kanpur,Delivered,,1,12.0,55+,1,Mobile App,SELL0087,Central
ORD000042,CUST04347,2023-01-29,Beauty,Speaker,4,1711.44,0,26.49,3793.17,COD,Ahmedabad,Delivered,4.0,1,4.0,26-35,1,Mobile App,SELL0095,West
ORD000043,CUST04938,2023-01-29,Home & Garden,Gaming Console,9,378.08,0,35.25,3221.65,COD,Surat,Delivered,1.0,1,5.0,26-35,0,Mobile App,SELL0080,South
ORD000044,CUST00985,2023-01-30,Clothing,Projector,5,1783.59,0,48.76,4733.36,Debit Card,Chennai,Delivered,4.0,0,11.0,18-25,0,Mobile App,SELL0193,South
ORD000045,CUST03666,2023-01-31,Beauty,Watch,9,1181.67,0,45.93,4078.8,COD,Surat,Delivered,1.0,0,,18-25,0,In-Store Kiosk,SELL0025,North
ORD000046,CUST03061,2023-01-31,Beauty,Printer,10,1454.53,0,26.02,3860.71,Debit Card,Pune,Delivered,4.0,1,2.0,46-55,0,Mobile App,SELL0036,East
ORD000047,CUST01062,2023-02-01,Sports,Mouse,8,722.03,5,15.62,706.66,Net Banking,Nagpur,Shipped,1.0,0,11.0,18-25,1,In-Store Kiosk,SELL0165,East
ORD000048,CUST00986,2023-02-02,Electronics,Smart TV,4,1969.87,0,26.85,4933.81,Net Banking,Hyderabad,Delivered,5.0,1,1.0,26-35,0,Mobile App,SELL0188,East
ORD000049,CUST01949,2023-02-02,Home & Garden,Keyboard,4,1654.02,15,18.33,3982.23,Credit Card,Jaipur,Shipped,2.0,1,7.0,18-25,1,Mobile App,SELL0056,West
ORD000050,CUST04099,2023-02-03,Toys,Printer,7,1823.93,5,22.97,4213.71,Net Banking,Bangalore,Delivered,1.0,0,6.0,18-25,0,Website,SELL0116,South
ORD000051,CUST02333,2023-02-04,Food,Camera,10,295.94,5,45.72,3759.57,Debit Card,Lucknow,Shipped,1.0,1,10.0,55+,1,Mobile App,SELL0058,South
ORD000052,CUST01265,2023-02-04,Home & Garden,Smart TV,2,537.28,30,25.71,4273.73,COD,Jaipur,Delivered,2.0,0,9.0,26-35,1,Mobile App,SELL0198,West
ORD000053,CUST02916,2023-02-05,Toys,Tablet,3,1682.78,0,2.08,3046.1,UPI,Hyderabad,Delivered,5.0,0,9.0,36-45,1,Website,SELL0014,West
ORD000054,CUST03148,2023-02-06,Electronics,Headphones,5,1340.68,0,34.2,70.55,Credit Card,Bangalore,Delivered,2.0,0,13.0,46-55,1,Website,SELL0120,East
ORD000055,CUST03091,2023-02-06,Electronics,Gaming Console,9,772.77,5,14.05,2319.89,Wallet,Kanpur,Shipped,3.0,0,9.0,55+,0,Website,SELL0119,West
ORD000056,CUST02947,2023-02-07,Beauty,Camera,3,931.41,5,10.69,1245.5,Debit Card,Kanpur,Delivered,,0,1.0,46-55,0,Mobile App,SELL0187,Central
ORD000057,CUST01909,2023-02-08,Food,Speaker,5,879.88,5,38.33,1559.67,Net Banking,Ahmedabad,Shipped,2.0,0,1.0,36-45,1,Website,SELL0114,East
ORD000058,CUST01874,2023-02-08,Electronics,Monitor,3,1117.91,5,8.28,1381.43,COD,Jaipur,Delivered,4.0,0,5.0,18-25,0,Website,SELL0070,West
ORD000059,CUST01900,2023-02-09,Clothing,Printer,8,980.62,0,30.46,3158.2,COD,Lucknow,Returned,3.0,0,1.0,36-45,0,Mobile App,SELL0099,South
ORD000060,CUST04503,2023-02-10,Food,Camera,3,912.17,5,40.86,3940.87,Net Banking,Delhi,Delivered,5.0,0,12.0,46-55,1,Website,SELL0127,East
ORD000061,CUST02160,2023-02-10,Food,Watch,1,658.73,20,15.03,4348.04,Net Banking,Chennai,Delivered,4.0,1,11.0,18-25,0,Mobile App,SELL0170,South
ORD000062,CUST04507,2023-02-11,Home & Garden,Smart TV,5,900.49,0,23.61,4370.85,UPI,Lucknow,Delivered,2.0,1,10.0,46-55,1,Mobile App,SELL0007,West
ORD000063,CUST01583,2023-02-12,Electronics,Smart TV,1,359.06,5,28.88,105.93,Debit Card,Lucknow,Delivered,3.0,0,10.0,18-25,0,Website,SELL0144,South
ORD000064,CUST01701,2023-02-12,Home & Garden,Headphones,3,385.78,20,32.06,3772.17,Credit Card,Hyderabad,Delivered,5.0,0,9.0,55+,0,Mobile App,SELL0117,Central
