Id,MSSubClass,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,TotalBsmtSF,GrLivArea,FullBath,BedroomAbvGr,TotRmsAbvGrd,GarageCars,GarageArea,Neighborhood,BldgType,SalePrice
1,90,45746,7,5,1982,1995,3448,867,0,6,2,0,617,CollgCr,1Fam,406290
2,40,10902,3,6,1949,1965,3371,1586,2,2,2,2,253,Somerst,1Fam,78324
3,20,105913,4,4,1909,1950,910,3173,3,4,13,2,759,Crawfor,1Fam,420026
4,50,86590,10,8,1933,1969,3979,3681,3,4,3,3,628,BrkSide,1Fam,215979
5,160,39378,6,8,1933,1995,2478,3919,0,6,12,2,72,Mitchel,TwnhsE,293111
6,70,6282,3,2,1912,1984,924,1031,2,4,3,3,1354,CollgCr,2fmCon,268034
7,20,162568,10,9,1997,1955,3118,2032,0,3,3,2,945,Crawfor,1Fam,133277
8,160,168034,2,2,1998,1956,4263,886,1,4,8,2,161,NoRidge,Twnhs,243097
9,120,53916,3,5,1879,1956,193,383,1,5,12,1,289,CollgCr,1Fam,692845
10,70,106925,7,4,2001,1995,5623,2407,2,3,2,1,810,NoRidge,1Fam,265461
11,90,55472,6,5,1927,1996,3731,3633,1,1,5,0,1219,Somerst,1Fam,562305
12,30,88776,1,2,1982,1974,1591,2302,2,3,11,2,688,BrkSide,1Fam,329194
13,70,24667,9,4,1979,1991,4584,546,2,7,2,3,1151,NWAmes,1Fam,82620
14,160,203747,3,1,1954,1951,5154,1501,3,0,4,0,181,CollgCr,TwnhsE,638136
15,60,155470,7,9,1974,1983,5841,2631,0,1,5,3,748,Mitchel,1Fam,687094
16,20,194078,4,2,1966,1966,4829,2222,3,7,11,3,1173,OldTown,1Fam,204571
17,90,64594,8,5,1989,1999,1241,4711,3,6,11,1,1201,NoRidge,1Fam,157651
18,90,188052,9,2,1930,1979,999,3508,2,0,10,1,340,Somerst,2fmCon,705073
19,90,112183,8,2,1974,2001,1275,5635,3,1,9,2,951,Sawyer,Duplex,105275
20,80,43689,10,4,2007,1983,5349,1265,0,5,2,3,56,Veenker,1Fam,675001
21,30,72381,6,9,2002,1977,1862,2299,0,6,4,0,200,Mitchel,1Fam,159633
22,30,174921,1,5,1892,2006,2018,797,0,5,13,1,1276,NWAmes,1Fam,659001
