Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,Gender,HourlyRate,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole
47,No,Travel_Rarely,1267,Sales,18,5,Male,47,4,Healthcare Representative,2,Single,1785,5,No,21,3,12,2,3,5,5
47,No,Travel_Rarely,870,Sales,17,1,Female,99,4,Human Resources,1,Married,3960,3,No,24,4,21,5,2,13,6
35,No,Travel_Rarely,888,Research & Development,13,5,Male,59,2,Healthcare Representative,2,Divorced,13531,4,No,22,4,17,3,2,37,3
27,No,Travel_Frequently,1404,Sales,9,5,Female,73,1,Sales Representative,3,Single,2563,5,No,21,4,23,0,1,17,17
25,No,Non-Travel,127,Sales,6,1,Male,32,1,Human Resources,4,Married,16812,6,Yes,11,3,30,2,1,27,9
21,No,Travel_Rarely,587,Research & Development,26,1,Male,92,2,Healthcare Representative,2,Single,6183,7,No,23,4,9,2,2,24,5
22,Yes,Travel_Rarely,581,Sales,1,1,Female,69,2,Human Resources,1,Divorced,16914,8,No,19,3,14,1,4,18,1
58,No,Travel_Rarely,1125,Research & Development,4,5,Male,63,4,Manager,2,Single,15080,3,Yes,20,3,1,0,4,3,9
35,No,Travel_Rarely,585,Sales,11,1,Female,73,5,Sales Executive,2,Married,7148,1,No,15,4,13,2,3,38,16
31,No,Travel_Rarely,1332,Research & Development,11,4,Male,88,2,Healthcare Representative,3,Single,16166,0,No,23,4,39,6,2,21,6
36,No,Travel_Rarely,1109,Human Resources,26,5,Female,30,3,Research Director,3,Married,4858,6,No,18,3,29,6,4,13,13
39,No,Travel_Frequently,1370,Research & Development,9,2,Female,33,5,Manager,4,Married,10171,4,No,14,3,27,1,2,17,6
23,No,Non-Travel,1236,Human Resources,10,3,Male,65,3,Laboratory Technician,3,Married,19215,4,No,16,4,33,4,4,17,17
55,No,Travel_Rarely,1145,Research & Development,7,1,Male,84,2,Laboratory Technician,2,Single,17894,7,No,14,3,22,5,1,39,11
38,No,Travel_Rarely,596,Research & Development,11,5,Female,96,3,Sales Representative,1,Single,18335,6,No,24,4,3,3,3,15,15
41,Yes,Travel_Rarely,1118,Sales,8,4,Male,36,1,Research Director,4,Single,3846,9,No,22,4,26,0,1,39,10
39,No,Travel_Rarely,691,Research & Development,20,4,Female,57,5,Research Scientist,1,Divorced,6962,8,No,19,4,5,4,2,5,7
57,No,Travel_Rarely,581,Research & Development,23,2,Female,84,5,Healthcare Representative,2,Married,2447,7,No,21,3,7,1,4,8,0
59,No,Travel_Rarely,415,Sales,21,4,Male,96,1,Research Scientist,2,Single,17989,6,No,22,4,26,1,4,5,5
23,Yes,Non-Travel,1353,Sales,23,4,Male,47,2,Laboratory Technician,4,Single,15918,8,No,15,4,36,1,1,37,4
47,No,Non-Travel,1118,Research & Development,18,1,Female,97,1,Human Resources,2,Married,17739,1,Yes,14,4,12,0,2,23,15
24,No,Travel_Rarely,170,Sales,20,3,Female,86,5,Sales Executive,2,Single,3192,9,No,23,4,12,6,1,19,10
18,No,Travel_Rarely,589,Research & Development,10,1,Male,46,5,Manager,4,Divorced,7428,4,Yes,16,3,26,3,3,2,10
41,No,Travel_Frequently,912,Research & Development,28,4,Female,87,2,Healthcare Representative,2,Married,14600,2,No,11,4,12,5,4,6,17
38,No,Non-Travel,1087,Research & Development,27,5,Male,70,3,Manufacturing Director,4,Married,7905,5,No,22,4,6,0,2,37,15
38,Yes,Travel_Rarely,530,Research & Development,2,5,Female,89,4,Human Resources,1,Married,6571,8,No,14,3,9,1,2,38,12
18,No,Travel_Rarely,1089,Sales,10,3,Male,88,5,Human Resources,3,Divorced,18705,1,No,14,4,32,1,2,13,5
45,No,Travel_Rarely,482,Research & Development,20,5,Male,44,5,Sales Executive,3,Married,11161,1,Yes,20,4,24,0,4,28,1
39,No,Travel_Rarely,320,Research & Development,9,5,Male,79,4,Laboratory Technician,1,Single,15097,6,No,24,4,12,5,4,12,9
20,No,Travel_Rarely,223,Research & Development,15,3,Male,62,3,Laboratory Technician,4,Single,15665,6,No,12,3,39,1,4,38,17
32,No,Travel_Rarely,1339,Research & Development,24,2,Male,83,4,Sales Executive,4,Married,12735,7,No,20,4,13,6,1,5,8
23,No,Travel_Rarely,1020,Research & Development,25,1,Male,39,4,Healthcare Representative,1,Single,15056,8,No,15,4,27,5,1,3,17
55,No,Travel_Rarely,1253,Research & Development,27,4,Female,48,3,Manufacturing Director,1,Married,19104,7,No,23,4,7,1,1,14,3
49,No,Travel_Rarely,851,Sales,19,2,Male,46,2,Manufacturing Director,1,Divorced,10487,8,No,23,3,37,1,1,7,1
38,Yes,Travel_Rarely,916,Research & Development,27,3,Female,94,1,Sales Representative,4,Single,17433,1,Yes,12,3,8,2,3,27,9
21,No,Travel_Rarely,508,Research & Development,19,5,Male,55,3,Human Resources,2,Married,2282,3,No,11,4,17,3,3,36,6
53,No,Travel_Rarely,222,Research & Development,15,1,Female,46,5,Manager,4,Single,2428,7,Yes,16,4,23,4,4,38,1
32,No,Travel_Rarely,1101,Research & Development,6,2,Male,81,5,Manager,2,Single,8450,8,Yes,11,3,20,3,3,39,16
42,No,Non-Travel,335,Sales,25,3,Male,75,3,Healthcare Representative,4,Single,10481,3,Yes,15,3,23,5,4,7,6
48,No,Non-Travel,1323,Sales,8,4,Female,74,5,Manufacturing Director,3,Single,7273,5,No,13,4,30,5,1,2,4
34,No,Non-Travel,230,Research & Development,6,5,Male,91,1,Healthcare Representative,2,Single,18018,2,Yes,24,4,32,1,3,7,9
58,No,Non-Travel,1466,Research & Development,22,5,Male,93,5,Laboratory Technician,3,Divorced,1439,8,No,20,4,13,2,1,30,15
27,No,Travel_Rarely,749,Sales,25,3,Male,55,2,Healthcare Representative,1,Married,3119,5,No,13,4,25,5,2,5,2
32,No,Travel_Frequently,497,Research & Development,28,3,Male,97,2,Manufacturing Director,1,Single,12952,0,No,19,4,22,5,2,27,6
25,No,Travel_Rarely,472,Sales,22,3,Male,68,2,Manufacturing Director,3,Single,2380,5,No,21,4,17,6,3,22,13
32,No,Travel_Rarely,1048,Research & Development,27,1,Female,92,2,Research Director,4,Divorced,4720,2,Yes,22,3,20,0,1,31,12
51,Yes,Travel_Rarely,1262,Research & Development,12,4,Male,78,2,Sales Executive,2,Single,17322,4,No,19,3,32,0,1,4,3
37,No,Travel_Frequently,766,Research & Development,3,5,Male,35,3,Research Director,4,Single,16502,3,Yes,19,3,27,3,1,17,0
55,No,Travel_Frequently,711,Human Resources,7,4,Male,94,1,Research Scientist,2,Divorced,15771,8,No,22,3,0,1,1,3,13
55,No,Travel_Rarely,1329,Sales,5,2,Male,70,2,Manufacturing Director,2,Married,7545,8,Yes,14,4,2,5,3,0,3
31,No,Non-Travel,733,Human Resources,22,5,Male,61,2,Sales Representative,3,Single,4184,1,No,24,3,28,5,4,29,0
51,No,Travel_Rarely,564,Research & Development,12,2,Male,53,1,Human Resources,2,Married,7050,3,No,13,4,21,3,2,22,15
38,No,Travel_Rarely,1389,Research & Development,13,3,Male,72,5,Research Director,3,Married,4448,4,No,22,4,21,0,4,31,12
35,No,Non-Travel,1223,Research & Development,26,2,Female,94,3,Sales Representative,4,Married,5534,8,No,24,4,33,2,4,3,8
30,Yes,Travel_Rarely,909,Sales,28,3,Male,39,3,Manufacturing Director,2,Single,16820,2,Yes,14,4,8,1,2,12,7
20,No,Travel_Rarely,117,Research & Development,5,5,Male,45,3,Manufacturing Director,2,Divorced,5654,7,Yes,20,3,10,2,1,5,15
37,No,Non-Travel,643,Sales,24,3,Male,34,2,Laboratory Technician,2,Married,4980,0,No,22,3,25,5,2,23,14
46,No,Travel_Rarely,1467,Research & Development,18,4,Male,43,2,Research Director,3,Single,5861,9,No,15,3,31,5,1,22,9
54,No,Travel_Rarely,1475,Sales,23,5,Male,31,1,Manager,3,Married,3743,3,Yes,18,4,39,4,4,29,10
35,No,Travel_Rarely,1042,Sales,27,1,Female,44,5,Sales Executive,2,Married,17423,2,No,22,4,37,0,4,3,9
23,No,Travel_Rarely,748,Research & Development,10,5,Female,63,4,Sales Executive,1,Divorced,18243,7,Yes,20,4,13,4,2,1,6
37,No,Travel_Rarely,1302,Research & Development,23,1,Male,87,4,Research Scientist,4,Single,4823,6,Yes,22,4,7,3,3,34,9
30,No,Travel_Rarely,911,Research & Development,20,4,Male,68,4,Manager,3,Married,16296,5,No,14,4,25,4,2,25,11
56,Yes,Travel_Rarely,185,Research & Development,19,3,Female,45,5,Human Resources,3,Married,6139,9,Yes,18,3,7,2,1,4,11
47,No,Travel_Rarely,635,Research & Development,22,2,Male,36,1,Healthcare Representative,4,Single,8676,4,No,22,3,17,3,1,11,6
56,No,Non-Travel,554,Human Resources,22,4,Female,92,4,Laboratory Technician,1,Single,19987,5,Yes,14,4,12,2,1,16,14
31,Yes,Travel_Rarely,1036,Sales,12,5,Male,42,5,Manufacturing Director,4,Married,12897,4,No,17,3,15,5,2,16,6
36,No,Travel_Frequently,408,Sales,26,1,Male,83,5,Sales Representative,1,Married,16375,1,No,18,3,35,2,2,29,13
21,No,Non-Travel,1185,Research & Development,3,1,Male,48,2,Sales Executive,4,Married,9182,3,Yes,22,3,12,6,2,14,7
23,No,Travel_Rarely,441,Sales,6,3,Female,74,3,Manager,4,Married,12806,6,No,21,3,34,6,3,23,16
33,No,Travel_Rarely,980,Research & Development,21,1,Female,92,2,Human Resources,3,Married,6221,1,No,16,3,9,5,3,28,12
34,No,Travel_Rarely,522,Research & Development,13,2,Female,93,1,Human Resources,3,Divorced,14956,7,No,24,4,11,3,3,4,12
46,No,Travel_Frequently,449,Research & Development,9,3,Male,36,2,Research Scientist,4,Married,19748,5,No,19,3,9,3,2,18,11
27,No,Non-Travel,1086,Sales,15,3,Female,65,2,Human Resources,3,Married,3982,6,No,19,4,29,3,2,10,3
59,No,Travel_Rarely,1418,Research & Development,4,4,Female,64,5,Research Scientist,2,Divorced,11370,8,Yes,12,4,30,5,2,30,16
50,No,Travel_Rarely,1219,Research & Development,1,3,Male,91,3,Healthcare Representative,4,Single,6112,4,No,14,4,1,6,3,5,12
55,No,Travel_Frequently,816,Research & Development,2,1,Male,85,5,Manufacturing Director,4,Married,13116,7,No,12,4,12,5,2,12,0
30,No,Travel_Rarely,1379,Research & Development,25,4,Male,40,5,Sales Representative,1,Married,9671,7,No,11,3,37,5,3,24,5
41,No,Travel_Rarely,1255,Research & Development,10,2,Female,90,4,Research Director,1,Married,8762,2,Yes,24,3,21,3,2,21,2
39,No,Travel_Rarely,1384,Sales,26,1,Male,55,3,Manager,3,Married,8395,2,No,14,4,7,1,3,1,2
