VendorID,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,payment_type,fare_amount,tip_amount,tolls_amount,total_amount,trip_duration_minutes,hour_of_day,day_of_week,is_airport,congestion_surcharge,rate_code,store_and_fwd
2,2023-01-01 16:01:29,2023-01-01 16:21:29,,0.11,239,156,5,143.95,12.67,13.74,239.53,81,1,0,1,2.5,1,N
1,2023-01-24 10:54:20,2023-01-24 11:21:20,1.0,0.68,161,22,2,106.12,22.65,14.42,90.59,41,9,0,0,2.5,3,N
1,2023-01-11 16:19:29,2023-01-11 16:57:29,6.0,13.27,190,96,4,86.2,2.98,7.44,40.41,56,19,1,1,2.5,1,N
2,2023-01-03 04:43:41,2023-01-03 05:01:41,2.0,14.12,19,220,5,73.69,5.45,18.19,118.77,57,10,6,1,2.5,1,N
2,2023-01-15 18:06:37,2023-01-15 18:54:37,6.0,31.18,233,222,1,81.33,35.48,16.02,114.29,86,11,6,0,0.0,1,N
2,2023-01-25 15:18:15,2023-01-25 15:52:15,2.0,9.83,60,107,2,171.09,41.47,7.34,229.55,42,14,2,1,2.5,2,N
2,2023-01-20 21:34:16,2023-01-20 22:30:16,1.0,29.71,109,156,3,85.73,13.51,4.46,117.2,13,9,2,0,2.5,1,N
2,2023-01-18 20:24:03,2023-01-18 21:17:03,6.0,3.22,144,213,5,3.37,36.92,4.25,63.1,41,10,2,0,2.5,1,N
1,2023-01-29 14:11:45,2023-01-29 15:33:45,1.0,2.8,232,165,5,184.84,32.02,4.41,58.45,75,5,4,1,2.5,1,N
2,2023-01-21 04:11:51,2023-01-21 05:07:51,5.0,26.1,262,111,1,119.59,25.48,11.78,11.53,3,18,4,0,2.5,1,N
2,2023-01-29 16:15:02,2023-01-29 17:17:02,5.0,26.72,66,249,1,35.22,14.46,12.86,186.12,26,13,2,0,2.5,1,N
2,2023-01-27 20:19:25,2023-01-27 21:34:25,6.0,3.4,109,264,2,27.5,49.26,2.98,69.15,61,0,1,0,2.5,5,N
2,2023-01-16 10:06:14,2023-01-16 10:25:14,4.0,34.76,162,72,1,76.87,12.4,10.97,197.62,19,13,3,0,2.5,5,N
2,2023-01-03 03:02:24,2023-01-03 04:20:24,6.0,2.91,110,13,3,123.42,10.43,5.01,138.93,44,8,2,1,2.5,1,N
2,2023-01-18 01:44:43,2023-01-18 02:25:43,,30.96,22,210,2,187.99,5.5,18.21,178.78,16,0,3,0,2.5,1,N
2,2023-01-29 09:56:39,2023-01-29 10:56:39,1.0,6.87,207,29,2,13.25,32.95,17.13,53.19,13,12,0,1,2.5,2,N
1,2023-01-21 22:35:02,2023-01-21 23:41:02,2.0,0.87,150,215,1,72.17,45.06,2.31,41.28,66,2,1,1,0.0,1,N
1,2023-01-07 15:41:52,2023-01-07 16:01:52,1.0,29.93,35,207,2,53.29,6.71,5.05,106.28,70,4,6,1,2.5,1,N
1,2023-01-26 01:26:07,2023-01-26 02:16:07,,6.53,170,17,1,85.68,5.22,18.89,91.13,5,14,2,0,2.5,1,N
2,2023-01-26 04:12:34,2023-01-26 04:39:34,3.0,18.58,241,146,2,158.94,45.22,5.98,128.02,49,12,3,0,2.5,1,N
2,2023-01-23 08:33:49,2023-01-23 08:49:49,4.0,28.96,171,192,3,33.81,33.03,16.32,187.83,39,6,1,0,2.5,1,N
1,2023-01-05 17:11:19,2023-01-05 18:30:19,5.0,5.5,127,22,2,187.16,48.45,1.01,227.49,34,20,6,1,2.5,1,N
1,2023-01-22 14:46:06,2023-01-22 15:57:06,4.0,25.96,207,221,4,53.15,35.51,7.76,149.79,63,23,1,1,0.0,5,N
1,2023-01-26 22:57:26,2023-01-26 23:15:26,6.0,18.65,72,29,3,151.16,38.59,12.3,58.79,58,2,2,0,2.5,1,N
