Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,Promo2,Promo2SinceWeek,Promo2SinceYear,Sales_per_Customer
811,3,2013-01-01,26623,0,1,1,b,0,b,c,9393.0,7.0,1,,,
1079,1,2013-01-02,32401,316,0,1,0,1,c,a,19766.0,1.0,1,,,68.38
1052,2,2013-01-03,27999,5679,1,0,0,1,b,a,25685.0,12.0,0,,2012.0,42.38
231,6,2013-01-04,8434,4551,1,0,0,0,c,a,63130.0,12.0,1,43.0,,
113,7,2013-01-05,15592,6663,1,1,0,0,a,a,26223.0,,0,,,
212,6,2013-01-06,23199,6708,1,0,0,1,a,c,37061.0,7.0,1,3.0,2010.0,33.09
58,1,2013-01-07,38438,3569,1,0,0,0,a,c,53231.0,11.0,1,,2012.0,29.26
909,5,2013-01-08,24789,5201,1,1,0,0,a,a,4899.0,4.0,1,20.0,,
692,4,2013-01-09,10468,6245,0,1,0,1,b,c,74823.0,6.0,1,36.0,2009.0,22.59
140,6,2013-01-10,14446,5648,1,1,0,1,a,c,11011.0,4.0,0,36.0,2011.0,6.17
389,7,2013-01-11,13199,3154,1,1,0,0,b,a,72047.0,,1,40.0,,
36,3,2013-01-12,28308,3113,1,1,0,0,c,a,47013.0,,0,,2013.0,33.51
741,7,2013-01-13,9415,3325,1,0,0,1,a,a,31789.0,9.0,0,,2010.0,97.68
949,3,2013-01-14,41307,5321,1,1,0,1,a,a,71758.0,1.0,0,21.0,,
441,3,2013-01-15,29686,4268,1,1,0,1,c,a,48343.0,11.0,1,,2011.0,
828,4,2013-01-16,9326,0,1,1,0,0,a,c,52006.0,8.0,1,,2009.0,
570,5,2013-01-17,24381,3194,1,0,0,1,a,a,69692.0,11.0,0,,2015.0,14.18
773,7,2013-01-18,11190,2472,1,0,0,1,a,c,19543.0,1.0,1,,2009.0,
1077,6,2013-01-19,23849,1856,1,0,0,1,d,a,56902.0,5.0,1,,2015.0,99.46
449,7,2013-01-20,0,6683,1,0,0,1,a,a,16544.0,8.0,0,,2009.0,62.37
522,2,2013-01-21,0,0,1,0,0,1,a,c,11505.0,11.0,0,,,12.01
422,7,2013-01-22,0,0,0,1,0,1,b,c,32896.0,11.0,0,,2013.0,
757,4,2013-01-23,34414,0,1,1,0,0,a,a,69746.0,7.0,0,50.0,2011.0,11.09
462,6,2013-01-24,32277,1464,1,0,0,0,a,a,49578.0,6.0,1,37.0,2010.0,13.29
1112,7,2013-01-25,10844,4024,1,1,0,1,a,c,34097.0,10.0,0,,,71.73
710,4,2013-01-26,34337,5100,0,1,0,0,b,c,13711.0,,0,31.0,2011.0,72.43
445,7,2013-01-27,31694,5828,0,0,0,1,d,a,32137.0,,0,1.0,2014.0,22.6
497,1,2013-01-28,13392,2886,1,1,0,1,c,c,49449.0,,1,,2009.0,68.44
11,7,2013-01-29,21658,0,1,1,0,0,c,a,5125.0,,0,31.0,,92.7
560,7,2013-01-30,76,3033,1,0,0,0,d,a,32859.0,1.0,1,40.0,,83.42
785,5,2013-01-31,37028,5125,1,1,0,1,a,a,65209.0,9.0,1,,2011.0,26.53
249,4,2013-02-01,28528,7017,1,1,0,1,b,c,2597.0,8.0,0,11.0,2015.0,34.46
716,5,2013-02-02,1657,2277,1,0,0,0,d,c,69371.0,,0,,2012.0,97.56
616,6,2013-02-03,31483,2565,1,1,0,1,b,a,49678.0,12.0,1,,,46.4
396,2,2013-02-04,9740,1271,1,1,0,0,a,c,67897.0,,0,,2012.0,85.85
902,4,2013-02-05,21092,2700,1,0,0,0,d,c,47841.0,2.0,0,,2013.0,3.12
816,6,2013-02-06,7469,0,1,0,0,1,a,a,14717.0,11.0,1,,2009.0,3.26
207,6,2013-02-07,561,4142,1,0,0,1,a,a,59550.0,7.0,0,32.0,,16.64
853,6,2013-02-08,2323,226,1,1,0,0,b,c,8319.0,,0,25.0,,27.25
255,3,2013-02-09,991,0,1,1,0,0,a,a,4711.0,12.0,0,40.0,,88.45
257,4,2013-02-10,27775,0,1,1,0,0,a,a,16880.0,,0,30.0,,14.33
607,5,2013-02-11,38800,3631,1,1,0,0,a,a,7705.0,12.0,1,2.0,,82.1
216,6,2013-02-12,32839,1655,1,1,0,1,a,c,19116.0,4.0,1,,2014.0,69.16
58,5,2013-02-13,39548,826,1,1,0,1,a,a,1166.0,,1,23.0,2013.0,46.95
760,2,2013-02-14,21853,3668,1,0,0,1,a,c,25478.0,7.0,0,9.0,2013.0,52.45
848,1,2013-02-15,14436,7186,1,1,c,1,a,c,68394.0,3.0,0,23.0,,
476,6,2013-02-16,34646,3665,1,1,0,0,c,a,38733.0,12.0,0,19.0,,30.44
360,1,2013-02-17,8858,6707,1,0,0,0,a,a,56239.0,,1,26.0,,79.71
140,5,2013-02-18,26526,5031,1,0,0,1,b,c,74832.0,,1,,,16.78
863,5,2013-02-19,5790,5842,1,1,0,1,d,c,37481.0,8.0,1,,2013.0,16.66
125,1,2013-02-20,26815,898,1,0,0,1,a,c,27956.0,11.0,1,30.0,,61.76
632,3,2013-02-21,0,5782,1,1,0,1,d,a,47816.0,6.0,0,,2010.0,32.03
8,3,2013-02-22,9674,0,1,1,0,0,b,a,16947.0,9.0,1,,,1.39
643,1,2013-02-23,31544,5989,1,0,a,1,d,c,73084.0,12.0,1,14.0,2011.0,64.27
90,5,2013-02-24,40119,330,1,1,0,1,a,a,15672.0,4.0,0,,2013.0,80.52
134,3,2013-02-25,28138,2072,1,1,0,0,b,c,69873.0,1.0,0,45.0,,
751,6,2013-02-26,20530,5916,1,1,0,0,a,c,44951.0,12.0,1,40.0,2009.0,47.42
358,5,2013-02-27,30001,484,0,1,0,0,d,c,24025.0,9.0,1,37.0,2011.0,69.08
1046,3,2013-02-28,40013,6596,1,0,a,1,a,a,52263.0,6.0,0,6.0,,
697,4,2013-03-01,33231,1279,1,1,0,1,a,a,53497.0,10.0,0,14.0,,64.36
888,2,2013-03-02,0,7319,1,1,0,1,a,c,34929.0,,1,19.0,,41.69
163,1,2013-03-03,22731,6200,1,0,0,0,a,a,38001.0,,0,,2011.0,73.09
537,2,2013-03-04,18726,3836,1,1,0,1,a,c,61819.0,,1,,2013.0,95.49
497,1,2013-03-05,21337,293,1,0,0,1,a,a,56489.0,,0,33.0,,74.62
775,7,2013-03-06,29410,6271,1,1,0,0,a,a,1186.0,,0,41.0,2009.0,59.63
25,2,2013-03-07,9015,254,1,0,0,1,a,a,55547.0,3.0,1,,2015.0,14.59
