PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Cabin,Ticket
1,0,3,male,,3,0,20.04,S,G6,PC 57592
2,1,3,female,35.79424596288397,3,0,21.48,S,,PC 80115
3,1,1,male,36.319812650486426,2,3,15.92,S,F67,PC 55056
4,0,3,male,41.445764525665076,3,1,11.49,S,D62,PC 36544
5,0,1,female,,4,0,61.31,S,,PC 96401
6,1,3,male,42.94202214121305,1,2,4.55,S,E19,PC 61517
7,0,3,male,15.920653101928561,2,1,41.58,C,,PC 45462
8,1,1,female,16.350517747932187,0,2,17.6,Q,,PC 10871
9,0,1,male,,1,3,19.68,S,C5,PC 60599
10,0,1,male,22.6835449986482,3,0,89.38,S,,PC 65895
11,1,3,male,13.063425822546801,3,2,14.65,C,,PC 93582
12,1,3,male,22.81631488157808,1,3,16.92,Q,,PC 30762
13,1,3,male,22.356818929333453,2,1,8.93,C,,PC 24652
14,1,3,female,,4,3,18.76,S,,PC 99935
15,1,3,female,24.578947193829922,0,1,7.51,S,,PC 59543
16,1,1,male,45.498311904456635,0,1,27.91,S,,PC 12418
17,1,3,male,31.78933257748935,1,3,13.98,C,,PC 19510
18,0,2,female,,3,2,19.61,S,,PC 52784
19,1,3,male,31.38711460427509,1,3,81.77,S,,PC 65574
20,0,3,male,24.939079164878475,4,3,144.69,S,,PC 31932
21,1,3,male,29.057860357168124,4,2,6.48,S,,PC 42911
22,0,3,female,32.590887698209556,2,0,67.82,S,,PC 76261
23,0,1,male,35.09355540039489,1,1,1.21,S,E121,PC 97086
24,1,3,female,58.073958562026334,0,3,26.32,S,G37,PC 54194
25,1,2,male,17.16551349031404,4,2,101.78,C,,PC 47386
26,1,3,male,41.0266448144883,4,1,28.21,S,,PC 42501
27,0,1,male,31.908508366597733,2,1,85.19,S,E95,PC 22256
28,1,1,male,7.0046316040113545,2,3,42.71,C,C148,PC 14749
29,1,2,male,39.789782949326685,3,0,20.93,S,,PC 85059
30,0,2,male,46.74672985125467,3,0,29.48,S,,PC 13342
31,0,2,male,,0,3,28.54,S,,PC 83877
32,0,3,male,28.87492584951241,3,1,44.22,S,,PC 32253
33,0,3,male,4.84504033189215,4,3,18.21,S,D47,PC 72536
34,1,2,male,11.37670956441929,3,2,19.98,S,,PC 95642
35,1,2,female,43.67241408664154,2,3,134.05,S,,PC 77392
36,0,1,male,,2,2,10.24,S,,PC 75656
37,1,3,female,13.47675835086745,1,3,11.91,S,E116,PC 33824
38,1,2,female,,3,3,18.2,S,,PC 63834
39,0,1,male,21.686225959965675,1,0,20.41,S,C81,PC 67784
40,1,2,female,22.408496791142497,1,3,8.19,S,,PC 48276
41,0,3,female,39.35056435944865,1,2,9.8,S,,PC 13421
42,1,1,male,12.735732974919149,1,0,1.95,S,,PC 92118
43,1,3,male,16.324887022454348,1,0,8.9,S,,PC 27719
44,0,3,male,31.15711989008416,0,1,35.94,C,A26,PC 97609
45,0,3,male,42.571737070474875,3,0,19.25,Q,,PC 93904
46,1,3,male,46.3342442208579,2,1,5.61,S,,PC 11697
47,0,3,female,19.689135914937278,4,3,0.65,S,,PC 76530
48,1,2,female,,0,1,12.27,S,,PC 67066
49,1,3,male,18.022007891414276,3,0,4.36,S,,PC 30760
50,1,3,female,54.566930856695194,0,1,0.57,C,,PC 83149
