fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,type,quality
6.6,0.81,0.48,60.6,0.302,159.0,38.0,1.033,3.17,1.1,13.7,white,5
6.1,1.34,0.96,64.0,0.526,221.0,7.0,0.9985,3.37,0.42,11.1,red,6
11.0,0.19,1.5,60.5,0.328,98.0,409.0,1.0224,3.11,0.95,13.4,white,8
11.1,1.19,0.7,17.2,0.467,222.0,212.0,0.9915,3.51,1.71,14.8,white,3
13.9,1.51,0.6,41.1,0.153,218.0,306.0,1.0318,2.73,0.29,10.5,red,5
10.1,1.31,1.33,33.2,0.277,126.0,187.0,1.0121,3.77,0.67,10.2,white,5
12.8,0.73,0.0,32.9,0.438,14.0,439.0,1.0195,3.81,1.69,8.3,white,7
14.6,0.6,1.14,28.5,0.544,78.0,214.0,1.0313,3.73,0.94,13.1,white,6
5.4,1.42,0.36,62.0,0.396,256.0,414.0,1.0134,3.11,0.64,9.7,white,6
12.5,0.52,1.15,52.2,0.155,170.0,288.0,1.0135,3.54,1.91,9.8,white,9
7.8,1.49,0.73,55.8,0.097,118.0,417.0,1.0112,3.19,0.5,12.4,white,3
7.2,0.56,0.03,2.9,0.516,274.0,221.0,1.0183,3.22,1.62,13.1,white,9
15.5,0.27,1.45,27.5,0.343,107.0,387.0,1.0243,3.63,0.54,10.8,white,4
6.3,0.43,0.91,39.6,0.12,95.0,151.0,1.0289,3.81,1.93,14.5,red,3
14.9,0.86,0.52,43.5,0.301,223.0,293.0,0.9886,3.79,1.62,9.1,white,6
13.8,0.28,1.17,58.9,0.085,103.0,274.0,1.0052,3.02,0.71,11.6,white,4
14.4,0.65,0.82,11.5,0.072,130.0,217.0,1.0095,3.57,1.97,12.3,white,8
10.9,1.44,0.06,6.5,0.563,209.0,224.0,0.9922,3.06,0.42,12.3,white,8
10.9,0.22,1.08,58.8,0.337,125.0,80.0,1.0261,3.53,1.75,12.5,white,5
8.7,1.0,1.61,33.6,0.159,94.0,399.0,1.0142,3.19,1.46,12.4,red,8
8.7,0.69,0.37,35.8,0.54,5.0,203.0,0.9872,3.74,0.53,13.5,white,4
14.1,1.05,1.43,58.6,0.61,249.0,72.0,1.0199,3.93,1.19,13.6,white,5
8.5,0.81,1.03,49.5,0.541,153.0,312.0,1.0047,3.09,0.24,14.7,white,3
9.7,1.4,0.13,48.2,0.459,246.0,322.0,1.0248,3.84,1.24,14.5,red,7
15.9,0.68,1.21,12.7,0.588,179.0,26.0,0.9964,3.67,1.26,11.6,white,8
8.1,0.84,0.73,41.1,0.128,59.0,150.0,0.9872,3.45,0.95,12.9,red,8
13.8,0.28,1.32,29.9,0.537,106.0,260.0,0.9916,3.4,1.69,10.8,white,5
7.2,0.82,1.06,40.4,0.225,121.0,363.0,1.01,3.13,1.88,12.5,red,8
4.1,0.25,0.0,38.1,0.028,214.0,141.0,1.0259,2.98,1.17,8.1,white,7
11.0,0.95,0.21,2.3,0.028,159.0,136.0,1.0184,2.83,1.42,10.5,white,7
9.6,0.72,0.59,23.0,0.122,184.0,326.0,0.9879,3.64,0.48,14.3,white,4
13.3,1.26,0.8,30.4,0.478,218.0,101.0,1.0178,3.01,2.0,12.7,white,8
3.9,0.71,1.55,33.2,0.549,80.0,395.0,1.0121,3.36,1.75,8.1,red,8
4.7,1.03,1.36,7.1,0.086,255.0,349.0,1.0284,3.87,1.91,11.6,white,9
14.2,0.17,1.33,59.2,0.518,132.0,394.0,1.0004,3.59,1.6,10.5,white,5
9.6,1.15,0.9,22.4,0.464,191.0,160.0,1.0244,2.94,0.79,13.6,white,6
9.9,1.52,0.15,32.5,0.04,64.0,78.0,1.0199,3.67,0.61,8.8,white,3
6.5,0.75,1.24,43.9,0.449,68.0,260.0,1.0194,3.0,1.13,12.2,white,7
15.0,0.09,0.14,47.5,0.032,213.0,88.0,1.0081,3.73,0.37,12.9,white,6
14.9,0.99,0.15,25.2,0.167,102.0,121.0,0.9878,2.82,1.2,12.1,white,8
10.1,0.3,0.42,9.0,0.329,253.0,180.0,0.9968,2.9,0.88,9.9,white,8
6.4,0.78,1.53,14.1,0.556,192.0,207.0,1.0309,3.93,1.52,13.5,white,9
15.7,0.13,1.24,11.4,0.072,193.0,146.0,1.0191,3.08,1.33,13.5,white,9
14.6,0.74,0.13,16.5,0.219,111.0,130.0,1.0171,2.91,0.66,10.5,white,4
10.1,1.39,1.53,40.0,0.356,261.0,113.0,1.0144,3.0,1.53,9.8,white,9
11.4,0.28,1.3,35.5,0.455,273.0,306.0,0.9911,3.19,0.77,12.6,white,3
9.1,0.83,1.0,11.6,0.56,75.0,139.0,1.0051,3.8,0.66,10.5,white,6
6.3,0.46,0.21,45.0,0.291,149.0,307.0,1.0192,2.92,0.97,10.4,white,9
12.0,0.47,0.53,4.8,0.515,262.0,328.0,0.9936,2.74,0.5,11.1,white,7
11.9,1.04,0.5,59.9,0.38,30.0,316.0,1.0349,3.84,0.8,11.2,white,9
10.4,1.2,1.06,37.5,0.132,87.0,403.0,0.9909,3.11,0.68,13.7,white,6
13.7,1.39,0.98,39.1,0.358,276.0,420.0,1.0224,2.82,0.26,14.6,white,7
9.3,0.5,0.46,19.2,0.198,141.0,70.0,1.0027,2.76,0.76,12.9,red,6
14.2,0.19,0.52,34.0,0.433,275.0,145.0,1.0319,3.88,1.05,8.6,white,9
6.4,0.74,0.86,28.4,0.18,110.0,348.0,1.03,3.39,1.7,10.3,white,3
15.4,0.96,1.4,62.6,0.167,153.0,345.0,1.0044,3.51,0.54,9.3,red,5
6.3,1.19,0.21,5.6,0.578,132.0,37.0,1.0111,3.51,0.8,12.6,white,7
5.7,1.21,1.2,30.5,0.556,133.0,424.0,1.0369,3.39,0.27,12.1,white,6
11.1,1.38,1.65,52.2,0.281,265.0,378.0,1.0187,3.71,0.35,14.8,white,9
4.9,0.13,1.24,36.1,0.47,201.0,396.0,0.9874,3.89,0.85,11.1,white,7
5.8,1.55,0.73,37.5,0.6,273.0,95.0,1.0274,3.55,1.11,8.7,white,3
12.6,1.53,1.21,60.0,0.062,96.0,223.0,1.0059,3.81,1.55,12.1,white,7
